,avg_price,avg_rating,game_name,game_rank,game_year,geek_rating,num_votes
0,109.91000000000001,8.91,Gloomhaven,1,2017,8.612,23738
1,69.99,8.65,Pandemic Legacy: Season 1,2,2015,8.492,30465
2,58.475,8.54,Through the Ages: A New Story of Civilization,3,2015,8.261,15261
3,55.64333333333334,8.40,Terraforming Mars,4,2016,8.240,37043
4,42.61,8.33,Twilight Struggle,5,2005,8.177,33921
5,92.07,8.45,Star Wars: Rebellion,6,2016,8.161,16163
6,89.99,8.57,Gaia Project,7,2017,8.125,8715
7,74.325,8.29,Scythe,8,2016,8.122,38181
8,62.96,8.29,Great Western Trail,9,2016,8.078,18438
9,134.9,8.75,Twilight Imperium (Fourth Edition),10,2017,8.068,6133
10,71.99,8.20,Terra Mystica,11,2012,8.052,32160
11,81.59,8.42,War of the Ring (Second Edition),12,2012,8.027,9586
12,38.36,8.13,The Castles of Burgundy,13,2011,8.013,35969
13,26.116666666666664,8.13,7 Wonders Duel,14,2015,7.993,39445
14,68.65,8.39,Spirit Island,15,2017,7.985,9942
15,59.0,8.63,Brass: Birmingham,16,2018,7.963,4932
